,name,geometry,capability,country,city
1032,ArdWat Impresiones 3D,POINT Z (-74.800246 10.99373 0),threed,CO,Barranquilla
1033,Industrias Senior del arte y la impresión 3d,POINT Z (-75.477991 10.387171 0),threed,CO,Cartagena
1034,Tienda 3D,POINT Z (-74.798181 10.991172 0),threed,CO,Barranquilla
1035,3D INGENIERÍA BQ,POINT Z (-74.79655700000001 10.996674 0),threed,CO,Barranquilla
1036,Machin3D Print,POINT Z (-71.618075 10.705923 0),threed,VE,Maracaibo
1037,ArTech G28,POINT Z (-73.240059 10.455658 0),threed,CO,Valledupar
1039,Tecno Ing3nieria S.A.S,POINT Z (-73.233935 10.461685 0),threed,CO,Valledupar
1046,3D DESIGN,POINT Z (-75.847745 8.802908 0),threed,CO,Monteria
1048,Laboratorio de Prototipismo e impresión 3D,POINT Z (-66.97458399999999 10.464629 0),threed,VE,Caricuao
1049,Soluciones VePrint3d C.A,POINT Z (-66.88358700000001 10.405954 0),threed,VE,Baruta
1050,La Maquinita3d Impresión 3D y diseño 3D,POINT Z (-68.024557 10.192412 0),threed,VE,Valencia
1051,Kota 3D print,POINT Z (-66.872524 10.449567 0),threed,VE,Baruta
1052,Morfo Impresión 3D,POINT Z (-66.839213 10.504907 0),threed,VE,Los Dos Caminos
1053,impresion 3d valencia,POINT Z (-67.98065800000001 10.159893 0),threed,VE,Valencia
1054,En3D Venezuela,POINT Z (-66.960779 10.374081 0),threed,VE,San Antonio de Los Altos
1055,3Dxcub3,POINT Z (-66.846166 10.478634 0),threed,VE,El Cafetal
1056,Tech and art 3D,POINT Z (-66.907816 10.50259 0),threed,VE,Caracas
1057,3DDariku,POINT Z (-68.04775100000001 10.117643 0),threed,VE,Tocuyito
1058,My3D - Impresión 3D,POINT Z (-78.495541 -0.110576 0),threed,EC,Quito
1059,CURVA 3D,POINT Z (-78.49844 -0.200982 0),threed,EC,Quito
1060,TAICED,POINT Z (-78.462659 -0.296192 0),threed,EC,Sangolqui
1061,Imaprinted3D - Servicio de Impresión 3D - Quito,POINT Z (-78.492062 -0.232681 0),threed,EC,Quito
1062,Proteon Impresión 3D,POINT Z (-78.480605 -0.184724 0),threed,EC,Quito
1063,3D TRONIX Venta de impresoras 3D QUITO,POINT Z (-78.496053 -0.198799 0),threed,EC,Quito
1064,Qubit 3D Printing - Soluciones de Ingeniería,POINT Z (-78.498209 -0.197071 0),threed,EC,Quito
1065,Riplexer - Impresion 3D,POINT Z (-78.423984 -0.202735 0),threed,EC,Quito
1066,Xtrega 3D.,POINT Z (-78.488792 -0.206871 0),threed,EC,Quito
1067,Helguero 3D - Impresión 3D,POINT Z (-79.93285400000001 -2.153607 0),threed,EC,Guayaquil
1068,Impresion 3d Gye,POINT Z (-79.90833499999999 -2.096674 0),threed,EC,Eloy Alfaro
1069,Tlab 3D,POINT Z (-79.895697 -2.16902 0),threed,EC,Guayaquil
1070,3DSBPRINTING,POINT Z (-79.89315000000001 -2.145302 0),threed,EC,Eloy Alfaro
1071,LaboPrint3D,POINT Z (-79.89930699999999 -2.168724 0),threed,EC,Guayaquil
1072,doob 3D Technology,POINT Z (-79.89939800000001 -2.168876 0),threed,EC,Guayaquil
1073,PrintBABY3D,POINT Z (-79.93277999999999 -2.153485 0),threed,EC,Guayaquil
1074,Impresión 3D Guayaquil ⭕ SMART3DTEC,POINT Z (-79.882931 -2.137019 0),threed,EC,Eloy Alfaro
1079,"PeruCAD, Diseño e Impresión 3D",POINT Z (-76.983418 -12.04344 0),threed,PE,San Luis
1085,3Dimensional - Diseño e impresión 3D,POINT Z (-69.89723499999999 18.529091 0),threed,DO,Ensanche Luperon
1086,3D Smart Print,POINT Z (-69.851258 18.501245 0),threed,DO,Santo Domingo Este
1087,3D Printers RD,POINT Z (-69.861234 18.496154 0),threed,DO,Santo Domingo Este
1088,Criollo3D,POINT Z (-69.93938 18.458531 0),threed,DO,Bella Vista
1089,3D Print RD,POINT Z (-69.935399 18.499565 0),threed,DO,Cristo Rey
1090,Tangibble 3d . Diseño e Impresión 3d,POINT Z (-68.131266 -16.496096 0),threed,BO,La Paz
1091,3Dsign - Impresión 3D a tu alcance,POINT Z (-68.12476100000001 -16.510741 0),threed,BO,La Paz
1092,Ukiri - División de Diseño 3D y Manufactura Aditiva,POINT Z (-68.15688299999999 -16.510043 0),threed,BO,La Paz
1093,"Dreamed Bolivia ""Diseño e impresión 3D""",POINT Z (-68.13951 -16.494926 0),threed,BO,La Paz
1094,Diverso Creativo impresión 3D,POINT Z (-68.083147 -16.50688 0),threed,BO,La Paz
1095,PRINT3D,POINT Z (-68.079476 -16.542844 0),threed,BO,La Paz
1096,SK BOLIVIA,POINT Z (-68.117073 -16.471021 0),threed,BO,La Paz
1097,ADITIVA 3D - BOLIVIA,POINT Z (-68.203531 -16.521851 0),threed,BO,La Paz
1098,Art 3d print,POINT Z (-68.14133200000001 -16.508529 0),threed,BO,La Paz
1099,Print3d,POINT Z (-68.10164399999999 -16.489859 0),threed,BO,La Paz
1100,Robochip Mechatronics sac,POINT Z (-70.11288500000001 -15.472173 0),threed,PE,Juliaca
1101,FABLAB JULIACA,POINT Z (-70.13456100000001 -15.501192 0),threed,PE,Juliaca
1102,JPrinter Impresion 3D,POINT Z (-66.159038 -17.419673 0),threed,BO,Cochabamba
1103,Print3D - Cochabamba,POINT Z (-66.157763 -17.362499 0),threed,BO,Cochabamba
1105,EPHOR 3D - Impresión 3D Arequipa Perú,POINT Z (-71.532228 -16.453464 0),threed,PE,Socabaya
1106,Denox Impresion 3d,POINT Z (-71.55768 -16.378641 0),threed,PE,Arequipa
1107,TresD ( Venta de Impresoras 3D),POINT Z (-71.52802200000001 -16.423216 0),threed,PE,Arequipa
1108,TRUZOR Servicio de Impresión 3D,POINT Z (-71.51440100000001 -16.373307 0),threed,PE,Arequipa
1109,A.T.M Projects - Impresion 3d,POINT Z (-71.56020599999999 -16.372797 0),threed,PE,Arequipa
1112,Krear 3D - 3D Printers,POINT Z (-77.019215 -12.12029 0),threed,PE,Surco
1113,3dprint.pe Lab,POINT Z (-77.032751 -12.127602 0),threed,PE,San Isidro
1114,Crear4D - Impresoras 3D & Escáneres 3D,POINT Z (-77.018708 -12.109564 0),threed,PE,San Isidro
1115,Detalles3D,POINT Z (-80.606325 -5.189164 0),threed,PE,Piura
1116,PROJECT3D Estudio de Diseño e impresión 3D,POINT Z (-78.98340399999999 -2.909294 0),threed,EC,Cuenca
1117,"SIM3D Impresión 3D, Maquinas y Materiales",POINT Z (-78.99249500000001 -2.898695 0),threed,EC,Cuenca
1123,Dynamics Maker,POINT Z (-75.489114 5.059846 0),threed,CO,Villamaria
1124,HATCH PLOTTER Y CORTE LASER,POINT Z (-75.488225 5.060437 0),threed,CO,Manizales
1125,Plot Impresion Digital,POINT Z (-75.48914000000001 5.055464 0),threed,CO,Villamaria
1128,3D TEC S.A.S,POINT Z (-75.691777 4.800699 0),threed,CO,Pereira
1129,Impresion 3D AMP,POINT Z (-75.702501 4.818912 0),threed,CO,Pereira
1130,R3D - impresión 3D Santiago Chile,POINT Z (-70.623589 -33.431498 0),threed,CL,Santiago
1131,Athena Ing 3D printing,POINT Z (-70.680325 -33.429086 0),threed,CL,Santiago
1132,DreamBox3D,POINT Z (-70.642349 -33.438201 0),threed,CL,Santiago
1133,IMPERIO 3D,POINT Z (-70.769465 -33.401095 0),threed,CL,Lo Prado
1134,Tresdp Manufactura Digital Avanzada,POINT Z (-70.511218 -33.368335 0),threed,CL,"Villa Presidente Frei, Nunoa, Santiago, Chile"
1135,Fácil 3D,POINT Z (-70.599851 -33.441508 0),threed,CL,"Villa Presidente Frei, Nunoa, Santiago, Chile"
1136,Eje Zeta 3D - 3D Mendoza,POINT Z (-68.848552 -32.932674 0),threed,AR,Godoy Cruz
1137,Mi6 - Diseño e Impresión 3D,POINT Z (-68.836923 -32.890887 0),threed,AR,Mendoza
1138,Mi3D Mendoza Insumos | Venta de Filamentos Grilon3 e Impresoras 3D en Mendoza,POINT Z (-68.769794 -32.905815 0),threed,AR,Villa Nueva
1139,3DMAZZ,POINT Z (-68.857202 -32.908594 0),threed,AR,Godoy Cruz
1140,Mendoza 3D - Venta Impresoras 3D y Filamentos en Mendoza,POINT Z (-68.851344 -32.904116 0),threed,AR,Mendoza
1141,Roid Impresiones Digitales Galeria Tonsa,POINT Z (-68.83804499999999 -32.889701 0),threed,AR,Mendoza
1142,Impresión 3D Viña-Valparaíso OCULAR 3D,POINT Z (-71.53828900000001 -33.005936 0),threed,CL,Vina del Mar
1143,DIGITAL 3D,POINT Z (-71.52139699999999 -32.996542 0),threed,CL,Vina del Mar
1144,Tu Area 3D,POINT Z (-71.234869 -32.865816 0),threed,CL,Quillota
1145,Printpal,POINT Z (-71.37876300000001 -33.057963 0),threed,CL,Villa Alemana
1146,ideamos3d,POINT Z (-71.483771 -33.034619 0),threed,CL,Quilpue
1147,Centro de Copiado 3D PRINT,POINT Z (-71.375409 -33.043152 0),threed,CL,Villa Alemana
1148,3D-Factory,POINT Z (-71.391819 -33.051334 0),threed,CL,Villa Alemana
1149,IMPRESIONES 3D RANDOM 3D,POINT Z (-65.404735 -24.780896 0),threed,AR,Salta
1150,CONCEPTERRA - Impresiones 3D,POINT Z (-65.446904 -24.780564 0),threed,AR,Salta
1151,Impresiones 3D Mi fábrica de ideas Salta,POINT Z (-65.41471300000001 -24.786006 0),threed,AR,Salta
1152,SALTA3D - S3D,POINT Z (-65.40407999999999 -24.774788 0),threed,AR,Salta
1153,Impresiones 3D Salta,POINT Z (-65.407669 -24.787723 0),threed,AR,Salta
1154,YLH3D | YO LO HAGO,POINT Z (-65.400409 -24.763087 0),threed,AR,Salta
1159,Impresion 3D Jujuy-Centro,POINT Z (-65.302521 -24.191504 0),threed,AR,San Salvador de Jujuy
1160,Impresion 3d jujuy,POINT Z (-65.268776 -24.243888 0),threed,AR,San Salvador de Jujuy
1161,"Marea 3, Impresión 3D y Grabado Laser.",POINT Z (-65.21485800000001 -24.263312 0),threed,AR,Palpala
1162,SFC3D,POINT Z (-65.304018 -24.186042 0),threed,AR,San Salvador de Jujuy
1163,3D Tecno - Oficina Central,POINT Z (-65.26101800000001 -24.215579 0),threed,AR,San Salvador de Jujuy
1164,Jujuy 3D,POINT Z (-65.330558 -24.165143 0),threed,AR,San Salvador de Jujuy
1165,Metagraf,POINT Z (-65.271058 -24.207668 0),threed,AR,San Salvador de Jujuy
1166,Reality Herramientas Creativas Impresion 3D,POINT Z (-63.149665 -17.766918 0),threed,BO,Santa Cruz de la Sierra
1167,Impresion 3D Reality Herramientas Creativas,POINT Z (-63.178847 -17.780515 0),threed,BO,Santa Cruz de la Sierra
1168,RealityHC Tienda/Showroom,POINT Z (-63.178845 -17.780526 0),threed,BO,Santa Cruz de la Sierra
1169,3D Service scz,POINT Z (-63.201543 -17.799426 0),threed,BO,Santa Cruz de la Sierra
1170,"ESCALA - PLOTTER, 3D , ARQUITECTURA",POINT Z (-63.190959 -17.772043 0),threed,BO,Santa Cruz de la Sierra
1171,Impresiones 3D Bolivia Oficina,POINT Z (-63.186556 -17.799515 0),threed,BO,Santa Cruz de la Sierra
1172,Impresiones 3D Bolivia,POINT Z (-63.183059 -17.788715 0),threed,BO,Santa Cruz de la Sierra
1173,3D SUR Córdoba,POINT Z (-64.190026 -31.431834 0),threed,AR,Cordoba
1174,Protoserie Impresión 3d - Fabricación Digital - Diseño Industrial _ ctz@protoserie.com,POINT Z (-64.20609899999999 -31.442468 0),threed,AR,Cordoba
1175,NUCLEO Corte Láser - Impresión 3D,POINT Z (-64.18955800000001 -31.432378 0),threed,AR,Cordoba
1176,Impresiones 3D Arquitectura,POINT Z (-64.200821 -31.381329 0),threed,AR,Cordoba
1177,FullPrism - Soluciones para empresas con Impresoras 3D Córdoba,POINT Z (-64.190974 -31.389015 0),threed,AR,Cordoba
1178,M&M - Diseño e impresión 3D,POINT Z (-64.151259 -31.34255 0),threed,AR,Cordoba
1179,FUS3D Impresión 3D & Diseño,POINT Z (-64.197816 -31.403694 0),threed,AR,Cordoba
1180,FoxArt Impresiones 3D,POINT Z (-64.184781 -31.421413 0),threed,AR,Cordoba
1182,Vector 3D - Impresión 3D Córdoba,POINT Z (-64.180843 -31.391615 0),threed,AR,Cordoba
1184,Toolbox Impresión 3D,POINT Z (-58.508999 -34.6095 0),threed,AR,Villa Santa Rita
1185,revoluPRINT - impresión 3d,POINT Z (-58.545531 -34.562905 0),threed,AR,General San Martin
1186,Mont3D Impresiones 3D,POINT Z (-58.465986 -34.557806 0),threed,AR,Colegiales
1187,3D insumos,POINT Z (-58.563885 -34.622869 0),threed,AR,Caseros
1188,IMPRESION 3D BOTTO,POINT Z (-58.553347 -34.612338 0),threed,AR,Caseros
1189,Piscobot 3D,POINT Z (-58.51404 -34.609919 0),threed,AR,Villa Santa Rita
1190,Impresiones en 3D -incub3D-,POINT Z (-58.552796 -34.642746 0),threed,AR,San Justo
1191,Trideo,POINT Z (-58.471206 -34.610886 0),threed,AR,Villa Santa Rita
1192,Dryada 3DPrinter,POINT Z (-58.500561 -34.575025 0),threed,AR,General San Martin
1193,Trokilab,POINT Z (-73.055933 -36.816973 0),threed,CL,Concepcion
1194,CICLA 3D,POINT Z (-73.061804 -36.815623 0),threed,CL,Concepcion
1195,DIMÉTRICA,POINT Z (-73.10324 -36.839027 0),threed,CL,Concepcion
1196,La Forja del Futuro,POINT Z (-73.02928799999999 -36.920988 0),threed,CL,Chiguayante
1197,Impresiónate en 3d,POINT Z (-73.11274 -36.834318 0),threed,CL,Concepcion
1198,Protolab,POINT Z (-73.057993 -36.803334 0),threed,CL,Concepcion
1199,impresiones digitales serfocomp,POINT Z (-73.048939 -36.828009 0),threed,CL,Concepcion
1200,KOX 3D,POINT Z (-73.166055 -36.999266 0),threed,CL,Coronel
1201,Tectonico3D,POINT Z (-71.63165600000001 -35.399146 0),threed,CL,Talca
1202,Foxtri print 3D,POINT Z (-71.645191 -35.416178 0),threed,CL,Talca
1203,Herrero 3D,POINT Z (-71.611638 -35.413509 0),threed,CL,Talca
